age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
58,0.0,1,0.0,0,0.09225936484302653,1,0,,5,5,0.05307035380235868,1,0.0,0,,0
44,1.0,0,1.0,0,0.07306665698255044,1,0,,5,5,0.030703538023586822,1,0.0,0,,0
33,2.0,1,1.0,0,0.07282152779038731,1,1,,5,5,0.015453436356242375,1,0.0,0,,0
47,3.0,1,,0,0.08647613167977049,1,0,,5,5,0.01870679137860919,1,0.0,0,,0
33,,0,,0,0.0728124489314183,0,0,,5,5,0.04026026840178935,1,0.0,0,,0
35,0.0,1,0.0,0,0.07490058649428939,1,0,,5,5,0.028263521756811714,1,0.0,0,,0
28,0.0,0,0.0,0,0.07686162003159443,1,1,,5,5,0.044123627490849936,1,0.0,0,,0
42,2.0,1,0.0,1,0.07282152779038731,1,0,,5,5,0.07726718178121188,1,0.0,0,,0
58,4.0,1,2.0,0,0.07390191200769887,1,0,,5,5,0.010166734444896299,1,0.0,0,,0
43,1.0,0,1.0,0,0.07818713344106913,1,0,,5,5,0.011183407889385929,1,0.0,0,,0
41,5.0,1,1.0,0,0.07525466199408058,1,0,,5,5,0.04514030093533957,1,0.0,0,,0
29,5.0,0,1.0,0,0.07634412507036116,1,0,,5,5,0.027856852379015862,1,0.0,0,,0
53,1.0,1,1.0,0,0.07285784322626332,1,0,,5,5,0.10512403416022774,1,0.0,0,,0
58,1.0,1,,0,0.07344796905924864,1,0,,5,5,0.014436762911752745,1,0.0,0,,0
57,6.0,1,1.0,0,0.07427414522542806,1,0,,5,5,0.03538023586823912,1,0.0,0,,0
51,4.0,1,2.0,0,0.07488242877635139,1,0,,5,5,0.07177714518096787,1,0.0,0,,0
45,5.0,0,,0,0.07292139523904635,1,0,,5,5,0.019926799511996746,1,0.0,0,,0
57,3.0,1,2.0,0,0.07327547073883754,1,0,,5,5,0.0077267181781211875,1,0.0,0,,0
60,4.0,1,2.0,0,0.07334810161058958,1,0,,5,5,0.04453029686864579,1,0.0,0,,0
33,6.0,1,1.0,0,0.07280337007244929,1,0,,5,5,0.010980073200488003,1,0.0,0,,0
28,3.0,1,1.0,0,0.07936738510703975,1,1,,5,5,0.05327368849125661,1,0.0,0,,0
56,0.0,1,0.0,0,0.07987580120930401,1,0,,5,5,0.03334688897925986,1,0.0,0,,0
32,3.0,0,2.0,0,0.07301218382873641,1,1,,5,5,0.032533550223668155,1,0.0,0,,0
25,6.0,1,1.0,0,0.07325731302089954,1,0,,5,5,0.06954046360309069,1,0.0,0,,0
40,4.0,1,2.0,0,0.07280337007244929,1,1,,5,5,0.036803578690524606,1,0.0,0,,0
44,5.0,1,1.0,0,0.06942603453597952,1,0,,5,5,0.03497356649044327,1,0.0,0,,0
39,0.0,0,0.0,0,0.07511847910954551,1,0,,5,5,0.06018706791378609,1,0.0,0,,0
52,2.0,1,1.0,0,0.07382928113594683,1,1,,5,5,0.0258235054900366,1,0.0,0,,0
46,0.0,0,1.0,0,0.07056997076607412,1,0,,5,5,0.05185034566897113,2,0.0,0,,0
36,1.0,0,1.0,0,0.07520926769923555,1,1,,5,5,0.07076047173647824,1,0.0,0,,0
57,1.0,1,1.0,0,0.0804205327474443,0,1,,5,5,0.045750305002033344,1,0.0,0,,0
49,0.0,1,0.0,0,0.0762351787627331,1,0,,5,5,0.04676697844652298,1,0.0,0,,0
60,5.0,1,1.0,0,0.07315744557224048,1,1,,5,5,0.0422936152907686,1,0.0,0,,0
59,3.0,1,1.0,0,0.07280337007244929,1,0,,5,5,0.045953639690931275,1,0.0,0,,0
51,0.0,1,0.0,0,0.1693570352078151,1,0,,5,5,0.06832045546970313,1,0.0,0,,0
57,1.0,1,1.0,0,0.0733753381874966,1,0,,5,5,0.04920699471329809,1,0.0,0,,0
25,3.0,1,1.0,0,0.07273981805966626,1,0,,5,5,0.07421716144774299,1,0.0,0,,0
53,1.0,1,1.0,0,0.07277613349554228,0,0,,5,5,0.3387555917039447,1,0.0,0,,0
36,5.0,1,1.0,0,0.07739727271076571,1,0,,5,5,0.11732411549410329,1,0.0,0,,0
37,5.0,0,1.0,0,0.07280337007244929,1,0,,5,5,0.027856852379015862,1,0.0,0,,0
44,6.0,1,1.0,0,0.09628129936629565,1,0,,5,5,0.032533550223668155,1,0.0,0,,0
50,0.0,1,1.0,0,0.07324823416193053,1,0,,5,5,0.036600244001626675,2,0.0,0,,0
60,3.0,1,,0,0.0737475714052258,1,0,,5,5,0.004473363155754371,1,0.0,0,,0
54,4.0,1,1.0,0,0.07760608646705282,1,0,,5,5,0.3033753558357056,1,0.0,0,,0
58,4.0,1,,0,0.07367494053347376,1,0,,5,5,0.1252541683611224,1,0.0,0,,0
36,5.0,0,2.0,0,0.07125088518874947,1,0,,5,5,0.04920699471329809,1,0.0,0,,0
58,7.0,1,0.0,0,0.06949866540773156,1,0,,5,5,0.07218381455876373,1,0.0,0,,0
44,1.0,1,1.0,0,0.07280337007244929,1,0,,5,5,0.045750305002033344,2,0.0,0,,0
55,1.0,1,1.0,0,0.07280337007244929,0,0,,5,5,0.032533550223668155,1,0.0,0,,0
29,0.0,0,0.0,0,0.07280337007244929,1,0,,5,5,0.07381049206994714,1,0.0,0,,0
54,3.0,1,1.0,0,0.08452417700143446,1,0,,5,5,0.054087027246848315,1,0.0,0,,0
48,0.0,1,0.0,0,0.07058812848401214,1,0,,5,5,0.05144367629117527,1,0.0,0,,0
32,0.0,1,0.0,0,0.07280337007244929,1,0,,5,5,0.03639690931272875,1,0.0,0,,0
42,5.0,0,1.0,0,0.07211337679080493,1,0,,5,5,0.16002440016266775,1,0.0,0,,0
24,1.0,0,1.0,0,0.0718682475986418,1,1,,5,5,0.029483529890199266,1,0.0,0,,0
38,2.0,0,0.0,0,0.07500953280191745,0,1,,5,5,0.03538023586823912,1,0.0,0,,0
38,0.0,0,0.0,0,0.07665280627530732,1,0,,5,5,0.0211468076453843,1,0.0,0,,0
47,3.0,1,,0,0.07558150091696475,1,0,,5,5,0.0026433509556730377,1,0.0,0,,0
40,3.0,0,,0,0.07302126268770541,1,0,,5,5,0.03761691744611631,1,0.0,0,,0
46,6.0,1,2.0,0,0.07442848582790115,1,0,,5,5,0.3615290768605124,1,0.0,0,,0
32,5.0,1,0.0,0,0.07280337007244929,1,0,,5,5,0.028060187067913786,1,0.0,0,,0
53,1.0,1,1.0,0,0.08178236159279502,1,0,,5,5,0.1651077673851159,1,0.0,0,,0
57,3.0,1,2.0,0,0.07506400595573148,1,0,,5,5,0.03334688897925986,1,0.0,0,,0
33,6.0,1,1.0,0,0.07997566865796307,1,0,,5,5,0.07950386335908906,1,0.0,0,,0
49,3.0,1,,0,0.07420151435367603,1,0,,5,5,0.07259048393655958,1,0.0,0,,0
51,0.0,1,0.0,0,0.13208831914005048,1,0,,5,5,0.018503456689711265,1,0.0,0,,0
60,4.0,1,0.0,0,0.07371125596934977,0,0,,5,5,0.10736071573810492,1,0.0,0,,0
59,0.0,1,0.0,0,0.07333902275162058,1,0,,5,5,0.05551037006913379,1,0.0,0,,0
55,1.0,1,1.0,0,0.08374339513010005,1,0,,5,5,0.032126880845872306,2,0.0,0,,0
35,3.0,0,1.0,0,0.18377426325059468,1,1,,5,5,0.0359902399349329,1,0.0,0,,0
57,3.0,1,1.0,0,0.12668639805349263,1,1,,5,5,0.05246034973566491,1,0.0,0,,0
31,6.0,1,1.0,0,0.07303034154667441,1,1,,5,5,0.03497356649044327,1,0.0,0,,0
54,0.0,1,1.0,0,0.07536360830170864,1,1,,5,5,0.0313135420902806,1,0.0,0,,0
55,3.0,1,2.0,0,0.07301218382873641,1,0,,5,5,0.059170394469296464,1,0.0,0,,0
43,1.0,1,1.0,0,0.09038911989541154,1,0,,5,5,0.036803578690524606,1,0.0,0,,0
53,1.0,1,1.0,0,0.07628965191654713,1,0,,5,5,0.03578690524603497,1,0.0,0,,0
44,3.0,1,1.0,0,0.07808726599241007,0,1,,5,5,0.04290361935746238,1,0.0,0,,0
55,6.0,1,1.0,0,0.07362954623862873,0,0,,5,5,0.07096380642537617,1,0.0,0,,0
49,6.0,1,1.0,0,0.07280337007244929,1,1,,5,5,0.05530703538023587,1,0.0,0,,0
55,6.0,1,1.0,1,0.0728124489314183,1,0,,5,5,0.0422936152907686,1,0.0,0,,0
45,5.0,0,1.0,0,0.07467361502006428,1,0,,5,5,0.03924359495729972,1,0.0,0,,0
47,6.0,1,1.0,0,0.07429230294336608,0,0,,5,5,0.04310695404636031,1,0.0,0,,0
42,1.0,0,1.0,0,0.07906778276106259,1,0,,5,5,0.004066693777958519,1,0.0,0,,0
59,5.0,1,1.0,0,0.09407513663682748,1,0,,5,5,0.21187474583163887,1,0.0,0,,1
46,7.0,1,0.0,0,0.07404717375120295,1,1,,5,5,0.050020333468889795,1,0.0,0,,0
51,3.0,1,2.0,0,0.07437401267408712,1,0,,5,5,0.10756405042700284,2,0.0,0,,0
56,5.0,1,1.0,0,0.07321191872605451,0,0,,5,5,0.2982919886132574,1,0.0,0,,1
41,1.0,1,1.0,0,0.08433352096308536,1,0,,5,5,0.2824318828792192,1,0.0,0,,1
46,0.0,1,1.0,0,0.07294863181595337,1,1,,5,5,0.03822692151281008,2,0.0,0,,0
57,4.0,1,1.0,0,0.07721569553138562,1,0,,5,5,0.036600244001626675,2,0.0,0,,0
42,0.0,0,1.0,0,0.07325731302089954,0,0,,5,5,0.009760065067100447,1,0.0,0,,0
30,1.0,1,1.0,0,0.07418335663573802,1,1,,5,5,0.04331028873525823,2,0.0,0,,0
60,5.0,1,1.0,0,0.07543623917346068,1,0,,5,5,0.11854412362749085,1,0.0,0,,0
60,3.0,1,,0,0.07329362845677555,1,0,,5,5,0.04493696624644164,1,0.0,0,,0
57,2.0,1,1.0,0,0.07246745229059612,0,0,,5,5,0.0351769011793412,1,0.0,0,,0
36,0.0,1,0.0,0,0.07372033482831877,1,1,,5,5,0.08662057747051646,1,0.0,0,,0
55,3.0,1,1.0,0,0.07628057305757813,0,0,,5,5,0.05835705571370476,1,0.0,0,,0
60,4.0,1,0.0,0,0.07353875764893868,1,0,,5,5,0.020536803578690525,1,0.0,0,,0
39,1.0,1,1.0,0,0.07280337007244929,1,0,,5,5,0.041276941846278975,1,0.0,0,,0
46,0.0,1,0.0,0,0.07488242877635139,1,0,,5,5,0.04005693371289142,1,0.0,0,,0
44,3.0,1,1.0,0,0.06668421912734007,1,0,,5,5,0.052257015046766976,1,0.0,0,,0
53,3.0,1,2.0,0,0.07362046737965973,0,0,,5,5,0.025213501423342822,1,0.0,0,,0
52,3.0,1,2.0,0,0.0739654640204819,1,0,,5,5,0.04656364375762505,1,0.0,0,,0
59,3.0,1,2.0,0,0.07442848582790115,1,0,,5,5,0.011183407889385929,3,0.0,0,,0
27,1.0,0,0.0,0,0.07280337007244929,1,0,,5,5,0.08133387555917039,1,0.0,0,,0
44,3.0,1,1.0,0,0.07329362845677555,1,0,,5,5,0.04005693371289142,1,0.0,0,,0
47,1.0,1,0.0,0,0.07417427777676902,1,0,,5,5,0.03863359089060594,1,0.0,0,,0
34,5.0,1,1.0,0,0.07335718046955858,0,1,,5,5,0.004270028466856445,1,0.0,0,,0
59,4.0,0,1.0,0,0.07307573584151944,1,0,,5,5,0.10451403009353395,1,0.0,0,,0
45,0.0,1,0.0,0,0.07755161331323879,1,0,,5,5,0.17263115087433917,2,0.0,0,,0
29,6.0,1,1.0,0,0.07308481470048844,1,0,,5,5,0.03944692964619764,1,0.0,0,,0
46,1.0,1,1.0,0,0.07352059993100067,0,0,,5,5,0.029280195201301342,1,0.0,0,,0
56,7.0,1,2.0,0,0.07249468886750313,1,1,,5,5,0.04310695404636031,2,0.0,0,,0
36,3.0,1,2.0,0,0.07687069889056343,1,0,,5,5,0.05815372102480683,1,0.0,0,,0
59,4.0,1,2.0,0,0.07353875764893868,1,0,,5,5,0.02175681171207808,1,0.0,0,,0
44,3.0,1,1.0,0,0.07411072576398599,1,0,,5,5,0.05022366815778772,2,0.0,0,,0
41,5.0,1,1.0,0,0.07599004957056997,1,0,,5,5,0.10532736884912566,1,0.0,0,,0
